A continuación, se presenta un inventario detallado del equipamiento de un vehículo auto bomba rural pesado (BRP) tipo R2, con fecha de revisión 15.11.2012, tal como se establece en la ficha técnica de materiales del Consorcio Provincial de Bomberos de Guadalajara. Este inventario se organiza por las diferentes ubicaciones del vehículo.

### **Equipamiento de la cabina (parte delantera)**

| Cantidad | Descripción del Equipo | Localización Específica |
| 2        | Cajas de material de rescate en altura | Ver esquema            |
| 1        | Caja de taladro Hilti – Aperturas | Ver esquema            |
| 1        | Caja de sierra de sable | Ver esquema            |
| 1        | Sierra de sable        | Ver esquema            |
|          | Batería de repuesto    | Ver esquema            |
| >4       | Hoja de repuesto de 15 cm sierra sable (Scarret, Bi_Metal) | Balda inferior derecha |
| >4       | Hoja de repuesto de 30 cm sierra sable (Scarret, Bi_Metal) | Balda inferior derecha |
| 1        | Cortalunas             | Ver esquema            |
| 1        | Motosierra de rescate  | Balda inferior fondo   |
| 1        | Tractel T35            | Balda inferior fondo   |
| 1        | Cable de tractel       | Balda inferior fondo   |
| 1        | Polea de tractel       | Balda inferior izquierda |
| 1        | Barra telescópica de tractel | Balda inferior izquierda |
| 2        | Bolsa de herramientas para motosierra | Balda inferior izquierda |
| 1        | Llave espadín          | Balda inferior izquierda |
| 1        | Llave de bujía         | Balda inferior izquierda |
| 1        | Bujía                  | Balda inferior izquierda |
| 1        | Llave de desmontaje de filtros y carcasa | Balda inferior izquierda |
| 1        | Cadena                 | Balda inferior izquierda |
| 1        | Lima                   | Balda inferior izquierda |

#### **Armario Derecho Central**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 6        | Conos de señalización retráctiles | Ver esquema            |
| 2        | Cuña de estabilización | Ver esquema            |
| 1        | Caja de eslingas y perrillos | Ver esquema            |
| 1        | Radial                 | Ver esquema            |
| 1        | Bomba hidráulica manual | Ver esquema            |
| 2        | Mangueras hidráulicas de excarcelación | Ver esquema            |
| 1        | Bomba hidráulica de excarcelación | Ver esquema            |
| 1 juego  | Calzos                 | Ver esquema            |
| 1        | Caja de balizas luminosas | Ver esquema            |
| 1        | Cortapedales hidráulico | Ver esquema            |
| 1        | Cortacinturones        | Balda inferior derecha |
| 1        | Rachet                 | Balda inferior derecha |
| 1        | Barra de uña           | Balda inferior derecha |
| 1        | Protección dura        | Balda inferior derecha |
| 1        | Juego de protecciones blandas | Balda inferior derecha |
| 1        | Juego de útiles de tráfico | Balda inferior derecha |
| 1        | Abrepuertas hidráulico | Armario inferior       |
| 1        | Cizalla                | Armario inferior       |
| 1        | Cuña adaptadora de cilindro | Armario inferior       |
| 1        | Cilindro grande        | Armario inferior       |
| 1        | Cilindro pequeño       | Armario inferior       |
| 1        | Separador              | Armario inferior       |
| 1        | Juego de cadenas para separador | Armario inferior       |
| 1        | Protector de airbag de volante | Armario inferior       |
| 1        | Protector de airbag de acompañante | Armario inferior       |
| 1        | Bomba hidráulica portátil (*) | Armario inferior       |

(*) Nota: La bomba hidráulica portátil se incluye solo si la bomba hidráulica principal del vehículo no es portátil.

### **Equipamiento de Techo-Arcón, Techo y Zona Bomba**

#### **Techo – Arcón**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 1        | Garrafa AD-BLUE        | Zona trasera           |
| 1        | Garrafa de sepiolita   | Zona trasera           |
| 1        | Macleod                | Zona trasera           |
| 2        | Batefuegos             | Zona trasera           |
| 2        | Cepillo barredor       | Zona trasera           |
| 1        | Horca                  | Zona trasera           |
| 1        | Podón                  | Zona trasera           |
| 1        | Hacha-azada            | Zona trasera           |
| 5        | Picas de ferralla      | Junto a espuerta       |
| 1        | Palín                  | Junto a espuerta       |
| 1        | Pala catalana          | Junto a espuerta       |
| 1        | Lazo para perros       | Zona trasera           |
| 1        | Motosierra convencional | Zona trasera           |
| 2        | Puntales de estabilización para tráfico | Zona trasera           |
| 4        | Puntales de obra (EN 1065: C30 → 1,86 a 3,0 m) | Zona trasera           |
| 1        | Camilla Petzl Nest     | Bajo tapa              |

#### **Techo**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 1        | Garrafas Bio-foam C    | Lateral derecho trasero |
| 4        | Garrafas Ecopol        | Lateral derecho trasero |
| 1        | Escalera de tijera extensible | Lateral trasero arcón  |
| 1        | Generador de alta potencia | Centro trasero         |
| 1        | Trípode Rogliss        | Centro                 |
| 1        | Trípode de monitor     | Centro                 |
| 1        | Monitor                | Centro                 |
| 1        | Adaptador de rosca monitor-Barcelona 70 | Centro                 |
| 1        | Escalera de antepecho  | Lateral izquierdo      |
| 1        | Escalera extensible    | Lateral izquierdo      |
| 2        | Bicheros               | Lateral izquierdo      |
| ≥ 1      | Mangotes para motobomba + alcachofa (**) | Lateral izquierdo      |
| 1        | Banqueta aislante eléctrica (30 kV) | Lateral izquierdo      |
| 1        | Martillo percutor      | Lateral izquierdo      |

(**) Nota: Los vehículos BRP sin motobomba incluirán 3 mangotes y una alcachofa en el techo.

#### **Zona Bomba**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 4        | Mangueras de 25 mm     | Ver esquema            |
| 2        | Llaves para mangotes (***) | Ver esquema            |
| 1        | Enrollador rápido      | Ver esquema            |
| 1        | Lanza de 25 mm         | Pronto socorro         |
| 2        | Mochilas extintoras    | Ver esquema            |

(***) Nota: Esta categoría aplica solo para vehículos BRP que no tienen motobomba y sí mangotes.
